
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3606    1.2616   -0.0591    0.9935   -0.1134    0.0086    4.0000    1.0000         0
         1         2    4.0000    1.9960    0.8955   -0.0260   -0.9913    0.1287    0.0272    3.9999    0.9999         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3801    1.3602   -0.0381    0.9850   -0.1700   -0.0284    3.9999    0.9997         0
         1         2    4.0000    1.9984    0.8595   -0.0266   -0.9766    0.2110    0.0405    3.9999    0.9999         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3836    1.2953    0.0293    0.9782   -0.2045   -0.0367    4.0000    1.0000         0
         1         2    4.0000    2.0472    0.7677    0.0430   -0.9718    0.2333    0.0341    3.9999    0.9998         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5165    1.2671   -0.1009    0.9857   -0.1688    0.0003    3.9999    0.9999         0
