
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.6304    0.1880    0.0689    0.9954    0.0929   -0.0247    4.0000    1.0000         0
         1         2    3.0000   -0.3813    0.3866   -0.0054   -0.9960   -0.0878    0.0145    2.9994    0.9985         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.6655    0.0681    0.0750    0.9696    0.2434    0.0239    3.9999    0.9998         0
         1         2    3.0000   -0.4113    0.4599    0.0584   -0.9719   -0.2336   -0.0304    2.9997    0.9992         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8072    0.2999    0.1007    0.9529    0.3033   -0.0011    4.0000    1.0000         0
         1         2    3.0000   -0.5496    0.7888    0.0677   -0.9536   -0.3008   -0.0122    2.9998    0.9997         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8434    0.2650    0.0914    0.9610    0.2765   -0.0110    3.9998    0.9996         0
         1         2    3.0000   -0.5203    0.7554    0.0607   -0.9583   -0.2857    0.0049    3.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.7621    0.1035    0.0585    0.9493    0.3144   -0.0035    3.9995    0.9991         0
         1         2    3.0000   -0.4358    0.6601    0.0225   -0.9436   -0.3308    0.0100    3.0000    0.9999         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8166    0.1511    0.0273    0.9491    0.3137   -0.0288    3.9998    0.9997         0
         1         2    3.0000   -0.4718    0.7065   -0.0513   -0.9448   -0.3261    0.0319    2.9999    0.9996         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8684    0.1091    0.0621    0.9716    0.2351   -0.0288    3.9989    0.9984         0
         1         2    3.0000   -0.4671    0.5749   -0.0313   -0.9626   -0.2673    0.0433    3.0000    1.0000         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8736    0.0114    0.0624    0.9724    0.2327   -0.0196    3.9994    0.9992         0
         1         2    3.0000   -0.4333    0.4787   -0.0217   -0.9643   -0.2627    0.0326    3.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.0441   -0.0312    0.0239    0.9818    0.1886   -0.0208    3.9993    0.9986         0
         1         2    3.0000   -0.5535    0.3741   -0.0597   -0.9763   -0.2148    0.0269    3.0000    0.9999         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.2383   -0.0107   -0.0754    0.9957    0.0898    0.0237    3.9996    0.9991         0
         1         2    3.0000   -0.6715    0.2341   -0.0779   -0.9953   -0.0937   -0.0259    2.9996    0.9991         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.2920   -0.1461   -0.0034    0.9907    0.1358    0.0094    3.9998    0.9997         0
         1         2    3.0000   -0.7095    0.1788   -0.0165   -0.9899   -0.1417   -0.0108    2.9997    0.9992         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.2923   -0.2233    0.0554    0.9762    0.2170    0.0000    3.9996    0.9992         0
         1         2    3.0000   -0.7220    0.2424    0.0130   -0.9730   -0.2307    0.0065    2.9996    0.9990         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.3925   -0.2080    0.0276    0.9777    0.2090    0.0192    4.0000    0.9999         0
         1         2    3.0000   -0.7370    0.2390    0.0188   -0.9788   -0.2047   -0.0098    3.0000    1.0000         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.3797   -0.2874   -0.0185    0.9651    0.2577    0.0465    3.9999    0.9999         0
         1         2    3.0000   -0.7056    0.2594    0.0300   -0.9639   -0.2614   -0.0505    3.0000    1.0000         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.4235   -0.3183    0.1000    0.9777    0.2099    0.0002    4.0000    1.0000         0
         1         2    3.0000   -0.6811    0.1243    0.0293   -0.9805   -0.1966    0.0065    2.9999    0.9998         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.2768   -0.2667    0.0942    0.9768    0.2142    0.0066    4.0000    1.0000         0
         1         2    3.0000   -0.5058    0.1969    0.0403   -0.9764   -0.2154   -0.0167    2.9997    0.9993         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.2108   -0.1876    0.0975    0.9883    0.1527    0.0015    3.9999    0.9998         0
         1         2    3.0000   -0.3974    0.2016    0.0663   -0.9855   -0.1691   -0.0152    2.9998    0.9994         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -2.0830   -0.3018    0.0799    0.9955    0.0944   -0.0079    3.9996    0.9995         0
         1         2    3.0000   -0.2169   -0.0047    0.0003   -0.9913   -0.1261    0.0388    2.9999    0.9999         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.9562   -0.1841    0.0969    0.9938    0.1110   -0.0053    3.9999    0.9998         0
         1         2    3.0000   -0.0201    0.1169    0.0156   -0.9944   -0.0973    0.0422    3.0000    1.0000         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8563    0.0164   -0.0185    0.9958    0.0902    0.0146    3.9998    0.9996         0
         1         2    3.0000    0.1250    0.2489   -0.0767   -0.9981   -0.0602    0.0145    3.0000    0.9999         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.8040   -0.0452   -0.0875    0.9981    0.0608    0.0113    4.0000    0.9999         0
