
% time 0.2000
% report fiber
         1         2    4.0000    0.0176   -0.0482    0.0002   -0.6252    0.7804    0.0024    3.9999    0.9999         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0319   -0.2595   -0.0758    0.6597   -0.7514    0.0123    4.0000    1.0000         0
         1         2    4.0000    0.0790   -0.2361   -0.0657   -0.6587    0.7522   -0.0180    4.0000    1.0000         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0206   -0.3288   -0.0241    0.6761   -0.7359   -0.0358    4.0000    0.9999         0
         1         2    4.0000    0.1089   -0.3272   -0.0367   -0.6759    0.7364    0.0283    4.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1288   -0.2783   -0.0987    0.6835   -0.7300   -0.0050    3.9998    0.9994         0
         1         2    4.0000    0.0274   -0.3052   -0.0933   -0.6824    0.7310    0.0032    4.0000    1.0000         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1729   -0.3135   -0.0522    0.6969   -0.7168   -0.0248    3.9999    0.9996         0
         1         2    4.0000    0.0101   -0.3661   -0.0449   -0.6959    0.7177    0.0261    3.9999    0.9999         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2806   -0.2505   -0.1002    0.7336   -0.6796    0.0006    3.9998    0.9992         0
         1         2    4.0000   -0.0716   -0.3167   -0.0993   -0.7321    0.6812    0.0019    3.9999    0.9999         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2705   -0.1445   -0.1000    0.7365   -0.6765    0.0001    3.9996    0.9985         0
         1         2    4.0000   -0.0444   -0.2254   -0.1000   -0.7377    0.6752    0.0002    3.9998    0.9998         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2556   -0.0871   -0.0930    0.7697   -0.6384   -0.0050    3.9999    0.9998         0
         1         2    4.0000   -0.0015   -0.1788   -0.0939   -0.7703    0.6376    0.0070    3.9989    0.9971         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2099   -0.1250   -0.1002    0.8051   -0.5931   -0.0003    3.9997    0.9999         0
