
% time 0.2000
% report fiber
         1         1    4.0000   -0.4525    1.3182    0.0481    0.9962   -0.0813   -0.0300    4.0000    0.9999         0
         1         2    4.0000    0.7511    2.7496   -0.1098   -0.4350    0.9004   -0.0076    4.0000    1.0000         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4800    1.3585    0.0498    0.9799   -0.1975   -0.0265    4.0000    0.9999         0
         1         2    4.0000    0.5682    2.5580   -0.0684   -0.5185    0.8550    0.0111    4.0000    1.0000         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5343    1.4730    0.1097    0.9704   -0.2412   -0.0103    3.9999    0.9999         0
         1         2    4.0000    0.4038    2.5325   -0.0416   -0.5525    0.8330   -0.0300    4.0000    1.0000         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5272    1.6782    0.1095    0.9706   -0.2403   -0.0136    3.9998    0.9997         0
         1         2    4.0000    0.3536    2.6757    0.0190   -0.5921    0.8059   -0.0003    3.9999    0.9998         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6511    1.6277    0.0529    0.9652   -0.2592   -0.0352    4.0000    0.9999         0
         1         2    4.0000    0.1442    2.5056   -0.1001   -0.6307    0.7760   -0.0002    4.0000    1.0000         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5829    1.5171    0.1004    0.9703   -0.2420   -0.0007    3.9998    0.9997         0
         1         2    4.0000    0.2072    2.4047    0.0428   -0.6486    0.7608    0.0207    4.0000    1.0000         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6571    1.5434    0.0043    0.9693   -0.2433    0.0360    4.0000    1.0000         0
         1         2    4.0000    0.1880    2.3419   -0.0530   -0.6566    0.7539   -0.0222    3.9999    0.9999         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7528    1.6447    0.0281    0.9523   -0.3038   -0.0280    3.9999    0.9999         0
         1         2    4.0000    0.1708    2.3847   -0.0725   -0.6037    0.7969    0.0238    3.9998    0.9996         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6594    1.6452   -0.0693    0.9357   -0.3522    0.0205    3.9998    0.9996         0
         1         2    4.0000    0.2651    2.2990   -0.0796   -0.5940    0.8045    0.0002    3.9999    0.9999         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6650    1.5950   -0.0004    0.8840   -0.4671   -0.0220    4.0000    1.0000         0
         1         2    4.0000    0.1947    2.0157   -0.0997   -0.5756    0.8178   -0.0006    4.0000    1.0000         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7544    1.4988    0.0343    0.9290   -0.3690   -0.0299    4.0000    1.0000         0
         1         2    4.0000    0.0590    2.0062   -0.0018   -0.6557    0.7531    0.0541    4.0000    0.9999         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8820    1.4525    0.1003    0.9289   -0.3704    0.0016    4.0000    0.9999         0
         1         2    4.0000    0.0217    2.0221    0.0946   -0.6051    0.7961    0.0055    3.9999    0.9998         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8810    1.4771    0.1007    0.8901   -0.4557    0.0009    4.0000    1.0000         0
         1         2    4.0000   -0.0282    2.0077    0.0993   -0.5901    0.8073    0.0003    4.0000    1.0000         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8506    1.4920    0.0839    0.9012   -0.4333    0.0084    4.0000    1.0000         0
         1         2    4.0000   -0.0449    2.0552    0.0321   -0.6024    0.7982    0.0035    3.9999    0.9998         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9743    1.4275   -0.0248    0.9246   -0.3808   -0.0004    3.9999    0.9999         0
         1         2    4.0000   -0.0320    2.1256   -0.1002   -0.5470    0.8371    0.0017    4.0000    1.0000         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9829    1.4149    0.0175    0.9403   -0.3403   -0.0097    4.0000    1.0000         0
         1         2    4.0000   -0.0879    2.1053   -0.0567   -0.5708    0.8207    0.0265    4.0000    0.9999         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8971    1.5702   -0.0168    0.9230   -0.3827    0.0411    3.9999    0.9999         0
         1         2    4.0000   -0.0621    2.1178   -0.0459   -0.6076    0.7938   -0.0264    4.0000    0.9999         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8981    1.6571    0.0373    0.9050   -0.4246    0.0258    3.9999    0.9998         0
         1         2    4.0000   -0.1615    2.0518   -0.0506   -0.6534    0.7565   -0.0281    4.0000    1.0000         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9008    1.9027    0.0452    0.8438   -0.5362   -0.0247    4.0000    1.0000         0
         1         2    4.0000   -0.2064    2.1207   -0.0867   -0.6178    0.7862   -0.0114    4.0000    1.0000         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9999    1.7962   -0.0379    0.9295   -0.3687   -0.0042    4.0000    0.9999         0
         1         2    4.0000   -0.2547    2.2392   -0.0950   -0.6869    0.7267    0.0067    4.0000    0.9999         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0066    1.6197   -0.0063    0.9407   -0.3340    0.0591    3.9998    0.9995         0
         1         2    4.0000   -0.2466    1.9688   -0.0215   -0.7381    0.6737   -0.0373    4.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0110    1.6176   -0.0090    0.9356   -0.3493    0.0508    4.0000    0.9999         0
         1         2    4.0000   -0.2315    1.9286    0.0406   -0.7379    0.6745    0.0238    4.0000    0.9999         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0753    1.7236    0.0756    0.9242   -0.3813    0.0191    3.9999    0.9999         0
         1         2    4.0000   -0.3067    1.9468   -0.0222   -0.7505    0.6596   -0.0400    4.0000    1.0000         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1075    1.7347    0.0331    0.9503   -0.3099    0.0295    4.0000    1.0000         0
         1         2    4.0000   -0.3217    2.0234   -0.0265   -0.7769    0.6288   -0.0316    3.9999    0.9999         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1024    1.6750    0.0997    0.9398   -0.3417    0.0001    3.9998    0.9995         0
