
% time 0.2000
% report fiber
         1         1    4.0000   -0.4712    0.4683   -0.0976    0.1873   -0.9823    0.0043    3.9999    0.9999         0
         1         2    2.0000   -0.1659   -1.7806    0.0161   -0.1432    0.9859   -0.0866    2.0000    1.0000         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5107    0.4808   -0.1000    0.0960   -0.9954   -0.0000    4.0000    1.0000         0
         1         2    2.0000   -0.4176   -1.8037   -0.0470   -0.0458    0.9975   -0.0536    2.0000    1.0000         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5791    0.4992   -0.1003    0.0756   -0.9971    0.0004    4.0000    1.0000         0
         1         2    2.0000   -0.5292   -1.7940   -0.0515   -0.0217    0.9987   -0.0467    2.0000    1.0000         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5428    0.3637   -0.0987    0.0737   -0.9973    0.0022    3.9998    0.9996         0
         1         2    2.0000   -0.5359   -1.9323    0.0062    0.0194    0.9959   -0.0887    2.0000    0.9999         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5209    0.3816   -0.1003    0.0893   -0.9960   -0.0000    4.0000    1.0000         0
         1         2    2.0000   -0.4739   -1.9250   -0.0995    0.0192    0.9998    0.0060    2.0000    1.0000         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5198    0.3955   -0.0625    0.1670   -0.9857    0.0228    3.9999    0.9999         0
         1         2    2.0000   -0.2243   -1.9212    0.0509   -0.1376    0.9890   -0.0551    2.0000    1.0000         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6642    0.2979   -0.0790    0.2805   -0.9597    0.0149    4.0000    0.9999         0
         1         2    2.0000   -0.0939   -2.0391    0.0413   -0.2458    0.9675   -0.0590    2.0000    1.0000         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6930    0.3591   -0.1004    0.3512   -0.9363   -0.0000    4.0000    0.9999         0
         1         2    2.0000    0.1154   -1.9235    0.0256   -0.3569    0.9320   -0.0631    2.0000    1.0000         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6448    0.2851   -0.0852    0.3075   -0.9515    0.0061    4.0000    1.0000         0
         1         2    2.0000    0.0631   -2.0537    0.0431   -0.3029    0.9514   -0.0549    2.0000    1.0000         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7622    0.4088   -0.0781    0.3715   -0.9284   -0.0075    4.0000    1.0000         0
         1         2    2.0000    0.0526   -1.9269   -0.0258   -0.3055    0.9521    0.0139    2.0000    1.0000         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7790    0.4324   -0.1036    0.3994   -0.9168    0.0020    3.9999    0.9999         0
         1         2    2.0000    0.1140   -1.8880   -0.0219   -0.3502    0.9366   -0.0093    2.0000    1.0000         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8504    0.3394   -0.0319    0.4389   -0.8978   -0.0354    4.0000    0.9999         0
         1         2    2.0000    0.1249   -1.9600   -0.0844   -0.3747    0.9260    0.0459    2.0000    1.0000         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7962    0.3433    0.0118    0.3373   -0.9402   -0.0485    3.9999    0.9998         0
         1         2    2.0000    0.0078   -2.0885   -0.0679   -0.3495    0.9364    0.0306    2.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6262    0.4406   -0.0098    0.3520   -0.9359   -0.0157    3.9999    0.9999         0
         1         2    2.0000    0.1795   -2.0109   -0.0633   -0.3393    0.9399    0.0386    2.0000    1.0000         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6838    0.4547   -0.0423    0.3653   -0.9308   -0.0127    3.9999    0.9998         0
         1         2    2.0000    0.1531   -1.9966    0.0119   -0.3389    0.9380   -0.0729    2.0000    1.0000         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5641    0.5234   -0.1003    0.3598   -0.9330    0.0003    4.0000    1.0000         0
         1         2    2.0000    0.2510   -1.9512   -0.1001   -0.3123    0.9500   -0.0000    2.0000    1.0000         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5680    0.4388   -0.0999    0.3256   -0.9455   -0.0002    4.0000    1.0000         0
         1         2    2.0000    0.1650   -2.0745   -0.1009   -0.2817    0.9595    0.0020    2.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3969    0.4878   -0.1014    0.2759   -0.9612    0.0009    4.0000    1.0000         0
         1         2    2.0000    0.2141   -2.0729   -0.0749   -0.2344    0.9719   -0.0238    2.0000    1.0000         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5018    0.4772    0.0040    0.3683   -0.9291    0.0334    4.0000    0.9999         0
         1         2    2.0000    0.3960   -2.0324    0.0731   -0.3703    0.9287    0.0194    2.0000    1.0000         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5899    0.3449   -0.0524    0.3461   -0.9378    0.0281    4.0000    0.9999         0
         1         2    2.0000    0.2652   -2.1896    0.0688   -0.3560    0.9340   -0.0298    2.0000    1.0000         0
