
% time 0.2000
% report fiber
         1         2    4.0000    2.4759   -1.4026   -0.0604    0.9717   -0.2353   -0.0203    4.0000    1.0000         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.4904    2.0637   -0.0999    0.6568   -0.7541   -0.0003    4.0000    1.0000         0
         1         2    4.0000    2.6606   -1.5746    0.0915    0.9683   -0.2489    0.0204    4.0000    0.9999         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.4142    1.8943   -0.1003    0.6369   -0.7709    0.0010    3.9999    0.9999         0
